Lat1,Long1,Lat2,Long2,Pop_left,Pop_right,Percent_left,Percent_right
40.8,-73.9,39.1,-94.6,125674224.0,123433959.0,0.5044965704719544,0.49550342952804566
40.2,-85.4,40.9,-74.2,124325101.0,124783082.0,0.4990807588203556,0.5009192411796445
33.6,-79.0,47.8,-116.9,123396702.0,125711481.0,0.49535386800199976,0.5046461319980002
43.0,-78.8,38.2,-85.8,125349298.0,123758885.0,0.503192213481,0.49680778651900004
40.3,-79.8,34.1,-118.2,125331580.0,123776603.0,0.5031210877564789,0.4968789122435211
38.3,-85.8,39.8,-83.7,124211335.0,124896848.0,0.498624065673507,0.501375934326493
34.1,-117.6,40.5,-74.2,125472876.0,123635307.0,0.5036882951372176,0.4963117048627824
39.4,-84.6,43.1,-77.8,125131639.0,123976544.0,0.5023184605702014,0.49768153942979865
34.7,-86.7,42.3,-83.4,123713722.0,125394461.0,0.49662648777780216,0.5033735122221978
39.6,-88.7,40.0,-105.0,124432156.0,124676027.0,0.49951051186463835,0.5004894881353616
41.8,-72.8,39.4,-88.6,123612379.0,125495804.0,0.4962196645302495,0.5037803354697505
39.7,-104.9,39.2,-76.6,124934915.0,124173268.0,0.5015287474518652,0.4984712525481349
42.3,-71.0,38.6,-90.3,125077638.0,124030545.0,0.5021016832674662,0.4978983167325338
32.4,-85.7,42.7,-85.0,124711734.0,124396449.0,0.500632827465166,0.499367172534834
35.6,-77.6,36.5,-80.6,124952093.0,124156090.0,0.501597705443502,0.498402294556498
33.9,-84.3,39.6,-86.2,123951079.0,125157104.0,0.4975793147670304,0.5024206852329697
41.0,-80.2,38.8,-90.3,123761895.0,125346288.0,0.4968198696226691,0.5031801303773309
41.2,-80.5,43.0,-74.7,124316548.0,124791635.0,0.49904642434006274,0.5009535756599373
42.7,-76.8,39.9,-83.8,124711215.0,124396968.0,0.5006307440330051,0.4993692559669949
40.0,-85.0,42.1,-72.0,123903303.0,125204880.0,0.49738752660726526,0.5026124733927347
39.6,-76.4,35.8,-118.4,125131811.0,123976372.0,0.5023191510332682,0.49768084896673187
36.7,-97.1,41.9,-72.5,123695768.0,125412415.0,0.4965544146737243,0.5034455853262757
40.5,-74.5,33.9,-118.2,123360984.0,125747199.0,0.4952104845146737,0.5047895154853264
42.6,-94.8,34.7,-82.3,124906931.0,124201252.0,0.5014164107166242,0.4985835892833757
33.9,-118.4,40.3,-74.1,125028370.0,124079813.0,0.5019039057420286,0.49809609425797147
28.5,-81.4,38.0,-86.2,124779150.0,124329033.0,0.5009034568727917,0.4990965431272083
42.7,-73.7,34.6,-98.4,124025509.0,125082674.0,0.49787810061622906,0.5021218993837709
40.2,-74.7,34.0,-118.5,123512886.0,125595297.0,0.4958202677749851,0.5041797322250149
26.9,-80.1,45.1,-93.2,125503264.0,123604919.0,0.503810282298113,0.49618971770188697
40.8,-81.9,39.7,-84.2,124245835.0,124862348.0,0.4987625597188833,0.5012374402811167
32.4,-81.8,43.2,-93.4,125388538.0,123719645.0,0.5033497354039148,0.49665026459608513
41.4,-81.5,39.0,-84.7,125560625.0,123547558.0,0.5040405477165718,0.4959594522834282
39.3,-84.5,30.2,-92.3,124171993.0,124936190.0,0.4984661342899362,0.5015338657100638
40.7,-80.1,38.8,-94.8,123723866.0,125384317.0,0.49666720904146294,0.5033327909585371
35.6,-77.4,40.5,-105.1,124716375.0,124391808.0,0.5006514579250092,0.49934854207499074
40.0,-83.0,39.6,-77.0,123424190.0,125683993.0,0.4954642136344433,0.5045357863655567
27.4,-82.5,39.9,-86.2,123456411.0,125651772.0,0.49559355904418445,0.5044064409558155
41.2,-96.2,45.5,-122.9,125643649.0,123464534.0,0.5043738326331897,0.49562616736681026
40.8,-74.0,39.2,-94.5,123950049.0,125158134.0,0.49757518001726986,0.5024248199827301
38.5,-121.4,38.8,-86.8,124251553.0,124856630.0,0.49878551360153434,0.5012144863984657
39.2,-84.7,32.4,-90.2,124002572.0,125105611.0,0.4977860241548147,0.5022139758451853
41.2,-82.6,30.2,-92.1,124405087.0,124703096.0,0.4994018482323401,0.5005981517676599
42.4,-71.0,41.8,-75.7,123669117.0,125439066.0,0.4964474290272512,0.5035525709727489
38.2,-122.6,38.7,-83.0,125314317.0,123793866.0,0.5030517885476288,0.4969482114523713
46.4,-97.7,39.5,-88.4,125572863.0,123535320.0,0.5040896749666389,0.49591032503336113
43.8,-94.2,39.6,-88.6,125501674.0,123606509.0,0.5038038995290652,0.49619610047093476
39.7,-86.1,37.6,-122.3,124486333.0,124621850.0,0.49972799568772097,0.500272004312279
39.8,-93.6,40.6,-75.3,124885900.0,124222283.0,0.5013319855494269,0.49866801445057307
39.5,-84.4,37.8,-121.0,125474670.0,123633513.0,0.5036954968275771,0.49630450317242286
40.9,-73.8,33.7,-112.2,125177060.0,123931123.0,0.5025007950059994,0.4974992049940005
35.3,-77.2,39.5,-92.0,123741489.0,125366694.0,0.4967379534055692,0.5032620465944309
40.4,-77.2,40.3,-74.6,123842569.0,125265614.0,0.4971437208869208,0.5028562791130792
39.9,-86.1,27.9,-82.8,124717077.0,124391106.0,0.5006542759777586,0.49934572402224137
41.5,-81.6,40.8,-82.5,125035253.0,124072930.0,0.5019315363076612,0.49806846369233887
41.8,-87.6,34.1,-84.4,124902099.0,124206084.0,0.5013970135216312,0.4986029864783687
32.9,-111.8,41.5,-71.7,125383026.0,123725157.0,0.5033276084712159,0.4966723915287841
39.9,-75.3,34.4,-119.1,125550740.0,123557443.0,0.5040008661618314,0.4959991338381686
41.3,-73.9,35.1,-106.5,125071119.0,124037064.0,0.5020755139143703,0.4979244860856297
46.5,-90.2,33.9,-84.2,125143463.0,123964720.0,0.5023659258917239,0.4976340741082761
40.0,-83.2,39.4,-76.9,124570049.0,124538134.0,0.5000640585138867,0.4999359414861133
40.4,-75.0,34.1,-117.6,125501505.0,123606678.0,0.5038032211089589,0.4961967788910411
34.7,-91.3,39.7,-84.0,124535206.0,124572977.0,0.499924187556697,0.500075812443303
33.5,-112.1,41.0,-74.0,123816201.0,125291982.0,0.4970378712930518,0.5029621287069482
34.0,-84.2,28.5,-81.3,124501299.0,124606884.0,0.49978807400317316,0.5002119259968268
34.7,-85.6,44.0,-84.5,124010301.0,125097882.0,0.49781705083529915,0.5021829491647009
34.2,-118.3,40.3,-79.6,125703227.0,123404956.0,0.504612997799434,0.49538700220056603
38.0,-85.7,40.1,-105.0,124966229.0,124141954.0,0.5016544518732249,0.4983455481267751
41.4,-75.6,41.7,-70.2,124885063.0,124223120.0,0.5013286255634565,0.4986713744365435
34.1,-118.2,40.3,-80.0,123727779.0,125380404.0,0.4966829170762327,0.5033170829237673
33.0,-84.1,39.6,-86.4,125573057.0,123535126.0,0.5040904537447491,0.49590954625525085
42.6,-83.9,30.4,-87.3,125015685.0,124092498.0,0.5018529840908518,0.49814701590914817
